,lat,lng,District
0,1.1504522,52.0880186,Ipswich District (B)
1,-3.0025802,53.3455149,Wirral District (B)
2,-2.2953434,53.5584641,Bury District (B)
3,0.5619122,50.8574833,Hastings District (B)
4,0.0028528,51.4420937,Lewisham London Boro
5,-0.4086035,54.2890237,Scarborough District (B)
6,-4.702077,50.355628,Cornwall
7,-3.5074387,50.721429,Exeter District (B)
8,-0.3032516,51.7293698,St. Albans District (B)
9,-1.52816,54.786148,County Durham
10,-0.0397029,53.5527004,North East Lincolnshire (B)
11,-1.8862388,52.5328668,Birmingham District (B)
12,-2.9314467,54.8696936,Allerdale District (B)
13,0.206206,52.185966,South Cambridgeshire District
14,0.531267,51.258636,Maidstone District (B)
15,0.27891,51.0193611,Wealden District
16,0.208155,52.186941,South Cambridgeshire District
17,-0.5320232,52.1446023,Bedford (B)
18,1.114158,52.927404,North Norfolk District
19,-1.0488823,53.964128,York (B)
20,-2.2668252,53.5030009,Salford District (B)
21,-2.194363,53.5543656,Rochdale District (B)
22,-2.2668252,53.5030009,Salford District (B)
23,-0.1856439,51.9902773,North Hertfordshire District
24,-0.1851617,51.9899552,North Hertfordshire District
25,-0.1900575,51.9837633,North Hertfordshire District
26,-1.9875125,52.4004023,Birmingham District (B)
27,-2.7259121,53.5489828,Wigan District (B)
28,-2.2374933,53.0446985,Newcastle-under-Lyme District (B)
29,-4.1423689,50.3907321,City of Plymouth (B)
30,-2.6887345,52.049588,County of Herefordshire
31,-0.891085,52.236958,West Northamptonshire
32,-1.6921646,52.6422072,Tamworth District (B)
33,-1.816371,52.39434,Solihull District (B)
34,-3.7730116,50.4817366,Teignbridge District
35,-0.882693,52.245744,West Northamptonshire
36,-0.689424,50.7831637,Arun District
37,-1.1909192,53.1521793,Newark and Sherwood District
38,-0.2535104,51.3927332,Merton London Boro
39,-1.829605,52.447764,Birmingham District (B)
40,-0.9128424,52.2712711,West Northamptonshire
41,-0.7191257,52.4687696,North Northamptonshire
42,-1.160866,52.25204,West Northamptonshire
43,-0.6079779,52.2903415,North Northamptonshire
44,-2.3525696,53.3710334,Trafford District (B)
45,-1.3578379,54.8364644,County Durham
46,1.228314,51.93127,Tendring District
47,-0.6357823,52.9260825,North Kesteven District
48,-3.492339,50.584424,Teignbridge District
49,-1.5644081,54.5220672,Darlington (B)
50,-0.6749295,50.7915883,Arun District
51,-5.1980488,50.3100922,Cornwall
52,0.853512,51.068689,Ashford District (B)
53,0.8780359,51.1657321,Ashford District (B)
54,0.7888316,51.0319451,Ashford District (B)
55,1.6363801,52.7107836,Great Yarmouth District (B)
56,0.82422,51.895327,Colchester District (B)
57,-0.135057,53.478046,North East Lincolnshire (B)
58,1.218851,52.6480763,Norwich District (B)
59,-2.3150777,53.4248812,Trafford District (B)
60,-2.3377477,53.4219428,Trafford District (B)
61,-0.0420549,53.557998,North East Lincolnshire (B)
62,-0.315736,51.304195,Mole Valley District
63,-1.3988716,50.9397717,City of Southampton (B)
64,0.0814303,51.4846727,Greenwich London Boro
65,-2.0988991,52.9487106,City of Stoke-on-Trent (B)
66,-4.4548609,50.3579559,Cornwall
67,-4.308314,50.501516,Cornwall
68,-2.3486795,51.6843542,South Gloucestershire
69,-2.2667213,53.5991855,Bury District (B)
70,0.8587758,52.5699891,King's Lynn and West Norfolk District (B)
71,-0.185468,51.315927,Reigate and Banstead District (B)
72,0.9984853,52.1826876,Babergh District
73,-1.992008,52.713463,Cannock Chase District
74,-0.6595752,51.3957805,Windsor and Maidenhead (B)
75,-0.2282955,51.3145628,Reigate and Banstead District (B)
76,-0.182608,51.458354,Wandsworth London Boro
77,0.2925709,51.6175024,Brentwood District (B)
78,0.0661397,51.512515,Newham London Boro
79,-1.393147,53.520582,Barnsley District (B)
80,-1.393147,53.520582,Barnsley District (B)
81,-0.4546299,51.6571129,Three Rivers District
82,-1.1476057,53.157127,Newark and Sherwood District
83,0.6776134,51.5396546,Southend-on-Sea (B)
84,-0.7590032,51.5803998,Buckinghamshire
85,-0.7374027,51.1120187,Waverley District (B)
86,-0.0108731,51.4719405,Greenwich London Boro
87,0.813019,51.165658,Ashford District (B)
88,-1.194892,53.0307971,Gedling District (B)
89,0.1451127,52.6573114,Fenland District
90,0.25092,50.872321,Wealden District
91,-3.0553155,53.8319812,Blackpool (B)
92,-0.034904,52.955637,Boston District (B)
93,-2.9573543,53.7365575,Sefton District (B)
94,-1.045654,50.846855,City of Portsmouth (B)
95,-1.025889,50.868319,Havant District (B)
96,-0.7466477,51.3360547,Surrey Heath District (B)
97,-0.252992,51.41553,Merton London Boro
98,1.7081725,52.584134,Great Yarmouth District (B)
99,0.6407842,51.9375793,Braintree District
100,-0.312118,52.672107,City of Peterborough (B)
101,-1.4571028,52.8960047,City of Derby (B)
102,-1.998091,50.7498946,"Bournemouth, Christchurch and Poole"
103,1.3042932,51.3804228,Thanet District
104,-1.3637195,52.5436284,Hinckley and Bosworth District (B)
105,-1.3636804,52.5422528,Hinckley and Bosworth District (B)
106,-0.540691,51.294337,Guildford District (B)
107,-1.1275229,51.3526113,Basingstoke and Deane District (B)
108,-0.3820521,50.8150946,Worthing District (B)
109,-1.063032,53.501328,Doncaster District (B)
110,-1.9357929,52.6596156,Walsall District (B)
111,-0.1764038,51.6295177,Barnet London Boro
112,-2.0637188,51.8939412,Cheltenham District (B)
113,-2.4607297,51.8749876,County of Herefordshire
114,-1.9181118,53.8715328,Bradford District (B)
115,-2.155146,51.9383066,Tewkesbury District (B)
116,0.2404944,50.8240992,Wealden District
117,-1.3459034,53.4267887,Rotherham District (B)
118,-2.1610642,52.455004,Dudley District (B)
119,-2.2515937,51.3533264,Wiltshire
120,-1.7673937,52.1808419,Cotswold District
121,-0.0461543,51.6667277,Broxbourne District (B)
122,-1.418283,52.885069,City of Derby (B)
123,-4.1209813,51.2069323,North Devon District
124,-0.1900374,52.3326077,Huntingdonshire District
125,-1.0713952,54.0157696,York (B)
126,-0.7320626,51.9759019,Milton Keynes (B)
127,-3.3160601,50.942064,Mid Devon District
128,-1.4980853,52.277988,Warwick District
129,-0.1895692,51.7817968,East Hertfordshire District
130,-1.9565938,52.6228725,Walsall District (B)
131,-0.4918218,52.1209427,Bedford (B)
132,-0.3556713,51.5811524,Harrow London Boro
133,-1.4185819,53.359111,Sheffield District (B)
134,-1.944194,50.726398,"Bournemouth, Christchurch and Poole"
135,-1.1337696,52.583596,Oadby and Wigston District (B)
136,0.3394805,53.1262008,East Lindsey District
137,-0.0860362,51.6427364,Barnet London Boro
138,0.7865139,51.8795937,Colchester District (B)
139,-1.7139954,52.4082938,Solihull District (B)
140,-1.8577679,50.8164461,Dorset
141,-2.9710589,53.4626247,Sefton District (B)
142,0.241087,51.421926,Dartford District (B)
143,-0.3953986,53.73313,City of Kingston upon Hull (B)
144,-2.9884291,53.6582832,Sefton District (B)
145,-0.786657,53.408758,West Lindsey District
146,-0.071099,51.666744,Broxbourne District (B)
147,-3.0525344,53.8483195,Blackpool (B)
148,0.3031173,51.6003314,Brentwood District (B)
149,-3.0288976,53.8347005,Blackpool (B)
150,0.6859182,51.3486842,Swale District (B)
151,-4.0495199,50.3824133,City of Plymouth (B)
152,-0.6823356,52.4910038,North Northamptonshire
153,-0.4505447,53.7258824,East Riding of Yorkshire
154,-0.3777142,51.6005045,Harrow London Boro
155,-2.2743594,51.8346936,Gloucester District (B)
156,-1.2581949,50.8682908,Fareham District (B)
157,-2.016433,53.107858,Staffordshire Moorlands District
158,0.0625366,51.1978696,Sevenoaks District
159,-2.5357562,53.1808303,Cheshire West and Chester (B)
160,-0.1242261,53.5121009,North East Lincolnshire (B)
161,-2.4942995,51.8572497,County of Herefordshire
162,-1.7714978,53.665437,Kirklees District (B)
163,-1.200923,50.802725,Gosport District (B)
164,-1.9879523,52.6002939,Walsall District (B)
165,1.18908,51.9042791,Tendring District
166,-2.4613706,51.0454262,South Somerset District
167,-2.9801511,51.3404348,North Somerset
168,-1.5360843,54.544363,Darlington (B)
169,-1.5210546,52.4310319,Coventry District (B)
170,-2.1144409,53.6331158,Rochdale District (B)
171,-2.573034,51.9240601,County of Herefordshire
172,-0.1539093,51.5782689,Haringey London Boro
173,-0.7492987,51.6153109,Buckinghamshire
174,-1.1162117,51.6213229,South Oxfordshire District
175,-2.9686545,51.3528314,North Somerset
